m,w,d,wdRatio,SCcomp,SCtheor,theta1,theta2,theta3,theta4,theta5
3,18.9,54,0.35,0.716174222222222,0.664117266728631,31.9409960999346,42.699402358876,0,0,0
6,8.55,57,0.15,0.646320888888889,0.681922863405995,58.4901688801654,4.55804167764814,35.2211500249663,24.8331898664016,18.548185587976
3,21,60,0.35,0.725242222222222,0.664117266728631,11.1942866484821,46.8687161120859,0,0,0
2,23.2,58,0.4,0.634842666666667,0.56948126216517,25.4536025941984,0,0,0,0
5,11.6,58,0.2,0.692570222222222,0.702335950367007,21.3905360088628,4.39460606938844,35.459487316491,54.6112698436885,0
2,11.6,58,0.2,0.379954666666667,0.373310423217143,2.35106919885498,0,0,0,0
6,19.6,56,0.35,0.923028444444444,0.479529637748512,11.0305766679465,29.8769289011368,31.070736014043,59.654580638643,51.2911009854405
6,16.2,54,0.3,0.889494666666667,0.649230484541327,56.0987451706831,28.7690727379489,13.907496699787,23.7774149105865,42.3046485067673
4,21,60,0.35,0.748727555555556,0.69688860103623,57.745884261998,32.1040263153694,57.8322077983029,0,0
2,2.65,53,0.05,0.106606666666667,0.109934441829515,34.8115099885627,0,0,0,0
4,22,55,0.4,0.869646222222222,0.646290294621859,25.918836651401,32.5600192461805,42.7448883473713,0,0
2,17.85,51,0.35,0.571005333333333,0.537045388453393,28.7084683741718,0,0,0,0
3,8.55,57,0.15,0.406654666666667,0.418903718043597,10.1765288072589,16.7270412263411,0,0,0
2,5.3,53,0.1,0.230780444444444,0.208797659642211,52.820271622752,0,0,0,0
4,10.2,51,0.2,0.617749777777778,0.623452789007165,58.1354997688375,24.4473442681572,50.6692437890069,0,0
5,11.8,59,0.2,0.690535111111111,0.702335950367007,47.0911456369814,27.8972569988721,48.838615609256,53.9066482308072,0
4,8.4,56,0.15,0.507148,0.523897274573418,54.1194485223937,42.1239869615805,22.6473061242519,0,0
5,22,55,0.4,0.921549333333333,0.499942724709524,32.4063499415619,18.6665783762401,4.27407431547502,10.9188280301413,0
2,10,50,0.2,0.388240888888889,0.373310423217143,54.9015547041474,0,0,0,0
5,2.5,50,0.05,0.268882666666667,0.260402347844048,12.5082133983192,27.2979687001258,7.63596199950801,0.51886127268542,0
5,8.7,58,0.15,0.420588444444444,0.611570323027551,26.1993984981175,26.1932869423361,2.95279082138918,2.97791409116341,0
2,13,52,0.25,0.452004888888889,0.438959968979379,50.4821461183286,0,0,0,0
6,22,55,0.4,0.932834222222222,0.230427097370068,13.218606034118,13.5725184504772,32.2072682707695,45.7265825526688,20.8540290269256
4,18,60,0.3,0.772074222222222,0.709948452238572,9.69435443341985,42.9381242500484,34.6643325715446,0,0
4,21.6,54,0.4,0.834584444444444,0.646290294621859,10.7385091576639,38.0000148192073,37.4400332587406,0,0
3,21,60,0.35,0.712073777777778,0.664117266728631,58.8586896559288,7.62221653169142,0,0,0
3,2.8,56,0.05,0.158097777777778,0.162014911398325,6.648559277229,24.4475704727039,0,0,0
6,13.5,54,0.25,0.846520444444444,0.739529637748512,12.5007589688008,26.4565965914594,57.3717691305527,7.44155499888259,28.2457947520174
6,2.85,57,0.05,0.284660888888889,0.306709314720961,58.7391280005023,16.9960739095282,8.02682999966539,41.1167810647612,54.5672733449637
5,20.8,52,0.4,0.919991111111111,0.499942724709524,45.265474889295,20.7756429998865,25.1175248581628,9.34318982129353,0
6,14.5,58,0.25,0.838632444444444,0.739529637748512,48.3067452424172,4.03335945379071,57.047418990334,29.8546206613296,45.3087542820313
5,17.85,51,0.35,0.881107111111111,0.635359391376191,27.4385232330845,37.0860297656629,55.931001302823,50.1052941335611,0
6,14,56,0.25,0.799480888888889,0.739529637748512,51.2955563381973,2.09194200287585,53.1252057290882,24.4638486813589,2.18292182686992
5,5.1,51,0.1,0.465995555555556,0.464259122186565,36.3575431994248,15.2688506430821,19.4492523003493,24.1074550708199,0
4,11.2,56,0.2,0.626972,0.623452789007165,10.0134433599747,11.2855243917149,5.67773219172993,0,0
